Timestamp,Gender,Age,1*2*3*4*5*6*7*8*9 R2 // 9*8*7*6*5*4*3*2*1R1,"In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ n _ ","Suppose there is an a test for brain tumors, which is 99% specific and sensitive. Meaning there are 1 % false positives. Suppose only 0.5% of the population have brain tumors. How high is the chance that I have a brain tumor if the test was positive?",Which words are more often in the english language?,Imagine that the U.S. is preparing for the outbreak of an unusual disease which is expected to kill 600 people. You have a choice between two programs: ,"An individual has been described by a neighbour as follows: ""Steve is very shy and withdrawn invariably helpful but with little interest in people or in the world of reality. A meek and tidy soul, he has a need for order and structure and a passion for detail"" Is Steve more likely to be a librarian or a farmer?","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ ing ","Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Which is more likely?","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ l y","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ l _ ",Group
03/05/2019 10:37:39,male,19,1000000,3-4,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,5-7,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:37:43,male,20,1000,3-4,4,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,8-10,Linda is a bank teller. (Bankkauffrau),,,2
03/05/2019 10:38:07,male,19,10000,1-2,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:13,male,18,6570,5-7,5,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:15,male,20,1000,8-10,5,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:18,female,20,50000,8-10,4,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:26,,,362880,3-4,1,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,3-4,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:35,male,19,1000,16+,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:39,male,19,479,11-15,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:40,male,,10,8-10,9,,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:50,male,22,10,0,1,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,1-2,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:38:59,male,24,10000,1-2,3,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,5-7,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:39:00,female,20,45,11-15,3,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,5-7,Linda is a bank teller. (Bankkauffrau),,,2
03/05/2019 10:39:03,female,21,356,16+,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
03/05/2019 10:39:21,male,22,0,3-4,1,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:39:22,male,21,99,1-2,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
03/05/2019 10:40:12,female,22,100,8-10,8,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:40:37,female,19,9,1-2,1,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 12:15:26,,,0,8-10,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller. (Bankkauffrau),,,2
04/05/2019 14:40:52,male,19,479,11-15,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
08/05/2019 19:16:24,male,20,987654321,16+,1,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
08/05/2019 19:17:42,Prefer not to say,19,999999999,8-10,8,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
08/05/2019 19:18:08,male,22,1111,8-10,1,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
08/05/2019 19:22:58,female,23,5678,8-10,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/06/2020 08:22:07,male,23,,5-7,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
22/06/2020 08:23:59,male,23,,5-7,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
22/06/2020 08:27:24,male,25,1024,16+,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/06/2020 08:27:45,female,22,300,5-7,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
22/06/2020 08:27:52,male,,,8-10,5,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/06/2020 08:28:00,female,22,362880,5-7,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/06/2020 08:28:04,female,22,1,11-15,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
22/06/2020 08:28:31,female,23,181,16+,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/06/2020 08:28:41,female,27,10,16+,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,16+,Linda is a bank teller. (Bankkauffrau),,,2
22/06/2020 08:29:50,male,26,100000,11-15,5,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/06/2020 08:30:32,male,25,50000,3-4,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,8-10,Linda is a bank teller. (Bankkauffrau),,,2
22/06/2020 15:04:00,female,23,181,16+,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:26:38,female,24,10,11-15,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
29/06/2020 08:26:48,female,23,555,11-15,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:26:59,female,23,10,5-7,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:27:06,female,24,5000,11-15,1,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:27:28,female,24,362,16+,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:27:31,male,22,350000,11-15,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:28:09,female,26,405890,16+,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:28:22,male,24,1024,3-4,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:28:39,female,24,10,1-2,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 08:28:39,female,24,6554880,3-4,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
29/06/2020 09:47:27,female,24,362,16+,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
17/12/2020 08:26:26,female,22,100,11-15,1,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,3-4,Linda is a bank teller and is active in the feminist movement.,,,2
17/12/2020 08:26:31,female,23,10,5-7,8,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
17/12/2020 08:26:31,female,23,1253,16+,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
17/12/2020 08:26:32,female,24,1000,16+,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,5-7,Linda is a bank teller and is active in the feminist movement.,,,2
17/12/2020 08:26:57,female,23,640,8-10,1,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
17/12/2020 08:27:05,male,24,1000,16+,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
17/12/2020 08:27:06,female,26,100,8-10,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller. (Bankkauffrau),,,2
17/12/2020 08:27:13,female,23,50000,5-7,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
17/12/2020 08:27:48,male,26,9876,8-10,1,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,8-10,Linda is a bank teller. (Bankkauffrau),,,2
17/12/2020 08:27:51,female,23,180000,16+,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
17/12/2020 08:27:52,female,22,1500,8-10,1,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller. (Bankkauffrau),,,2
17/12/2020 08:28:51,female,24,4000,8-10,5,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
17/12/2020 08:31:42,male,25,5555,8-10,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,8-10,Linda is a bank teller. (Bankkauffrau),,,2
21/06/2021 09:22:46,female,28,10000,1-2,1,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
21/06/2021 09:23:22,female,24,1000,16+,4,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller. (Bankkauffrau),,,2
21/06/2021 09:23:23,other,26,1500,3-4,5,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
21/06/2021 09:23:36,female,24,10000000,3-4,1,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,8-10,Linda is a bank teller. (Bankkauffrau),,,2
21/06/2021 09:23:38,female,23,1080,0,1,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,5-7,Linda is a bank teller and is active in the feminist movement.,,,2
21/06/2021 09:23:54,male,30,87560,16+,5,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
21/06/2021 09:24:26,female,24,1000,16+,5,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
21/06/2021 09:25:10,female,23,1000000000,11-15,5,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
21/06/2021 09:25:57,female,27,800000,5-7,1,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/12/2021 08:33:41,male,34,300000,16+,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
22/12/2021 08:33:44,female,24,305000,16+,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
22/12/2021 08:34:00,female,24,74800,16+,1,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/12/2021 08:34:07,female,21,500000,8-10,1,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/12/2021 08:34:49,female,,200000,11-15,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
22/12/2021 08:34:59,male,24,1000,11-15,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
22/12/2021 08:35:09,female,23,70000,3-4,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller. (Bankkauffrau),,,2
22/12/2021 08:36:16,female,24,36000,11-15,10,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
22/12/2021 08:36:36,female,23,1200,8-10,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
22/12/2021 08:36:42,female,23,270000,16+,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
22/12/2021 08:36:47,female,,360,8-10,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
22/12/2021 08:38:09,female,21,500000,11-15,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
25/08/2022 23:14:51,female,23,10000,16+,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
25/08/2022 23:19:17,,,1000,5-7,5,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,5-7,Linda is a bank teller. (Bankkauffrau),,,2
25/08/2022 23:28:02,male,34,362880,0,8,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 02:22:06,female,20,10,3-4,6,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,5-7,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 02:26:25,male,19,23532,3-4,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 03:11:59,female,20,1000,5-7,7,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 03:27:12,female,21,362880,16+,5,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 03:29:02,female,19,5000,3-4,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,3-4,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 03:51:02,male,22,700,8-10,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 05:53:13,male,19,300,3-4,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,5-7,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 07:58:06,female,24,300000,8-10,1,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 08:01:47,female,21,10,8-10,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 08:14:15,female,20,300000,5-7,4,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller. (Bankkauffrau),,,2
04/10/2022 10:04:10,female,20,2000000,16+,1,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
04/10/2022 11:07:00,female,21,10,11-15,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 20:21:22,female,21,500,8-10,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 23:03:31,male,21,362000,5-7,1,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
04/10/2022 23:03:50,female,26,300,16+,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
27/06/2018 08:30:35,female,24,0,,1,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
27/06/2018 08:31:10,male,23,1001,,2,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),8-10,5-7,1
27/06/2018 08:31:42,Prefer not to say,25,100000,,2,There are more words having the letter K at the beginning than at the third position,Find a better Program ,farmer,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
27/06/2018 08:33:21,female,25,1000,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,11-15,1
